rank,coarse_absolute_residual_mw,granular_absolute_residual_mw,exceedance_share
192,5.015323933829041,4.620251226391106,0.00546448087431694
193,5.013035933829042,4.617900548933517,0.005492941712204007
194,5.007115933829041,4.607267226391105,0.005521402550091075
195,5.006427933829043,4.591144548933518,0.005549863387978142
196,5.005359933829043,4.587823226391107,0.005578324225865209
197,5.003439933829041,4.584328594572454,0.0056067850637522764
198,4.988107933829042,4.583727226391106,0.0056352459016393444
199,4.98173993382904,4.576431226391104,0.005663706739526412
200,4.978783933829041,4.572524594572452,0.005692167577413479
201,4.974271933829042,4.571779226391105,0.005720628415300547
202,4.970307933829043,4.568876548933518,0.005749089253187614
203,4.961643933829041,4.560563226391106,0.005777550091074681
204,4.957119933829041,4.555516594572452,0.005806010928961749
205,4.9527119338290415,4.551660594572453,0.005834471766848816
206,4.952603933829042,4.551487226391105,0.005862932604735883
207,4.948735933829042,4.5440152263911076,0.00589139344262295
208,4.948491933829041,4.533080548933518,0.005919854280510018
209,4.948415933829041,4.532324594572452,0.0059483151183970856
210,4.944871933829042,4.527968548933518,0.005976775956284153
211,4.944203933829041,4.5272205945724515,0.006005236794171221
212,4.929759933829041,4.525072548933518,0.006033697632058288
213,4.92939593382904,4.519481382983125,0.006062158469945355
214,4.925803933829044,4.517381382983126,0.006090619307832423
215,4.922155933829043,4.513935226391106,0.00611908014571949
216,4.915727933829041,4.508503163826234,0.006147540983606557
217,4.910835933829041,4.504677382983127,0.006176001821493624
218,4.9106159338290425,4.504220594572451,0.006204462659380692
219,4.89877593382904,4.503695226391105,0.0062329234972677595
220,4.893555933829042,4.501457382983126,0.006261384335154827
221,4.8910759338290415,4.501160594572451,0.006289845173041895
222,4.8844239338290425,4.493104548933518,0.006318306010928962
223,4.876811933829041,4.4926792263911075,0.006346766848816029
224,4.871439933829041,4.4925832263911065,0.006375227686703097
225,4.866379933829041,4.486161382983124,0.006403688524590164
226,4.863283933829042,4.4853485489335165,0.006432149362477231
227,4.852655933829042,4.4807045489335176,0.006460610200364298
228,4.851995933829043,4.479704548933516,0.006489071038251366
229,4.850055933829042,4.476139226391105,0.0065175318761384335
230,4.8478999338290425,4.475917382983126,0.006545992714025501
231,4.84060393382904,4.468813382983126,0.006574453551912569
232,4.835951933829042,4.468771226391105,0.006602914389799636
233,4.828755933829044,4.4630973829831255,0.006631375227686703
234,4.8277879338290415,4.460687163826234,0.00665983606557377
235,4.824735933829041,4.4603112263911076,0.006688296903460838
236,4.820507933829042,4.449103226391106,0.006716757741347905
237,4.817427933829042,4.4406245945724505,0.006745218579234972
238,4.815659933829041,4.439443226391104,0.00677367941712204
239,4.808187933829044,4.436635163826233,0.0068021402550091075
240,4.791991933829042,4.428483226391108,0.006830601092896175
241,4.7868799338290415,4.417303226391105,0.006859061930783243
242,4.78590393382904,4.413347226391105,0.00688752276867031
243,4.783983933829042,4.412555226391105,0.006915983606557377
244,4.780327933829044,4.411596594572452,0.006944444444444444
245,4.778107933829042,4.411488594572453,0.006972905282331512
246,4.7678679338290415,4.4114072263911055,0.007001366120218579
247,4.756851933829044,4.407620594572452,0.007029826958105646
248,4.7567559338290435,4.407300594572452,0.007058287795992714
249,4.7520159338290435,4.406777382983128,0.0070867486338797815
250,4.7508639338290415,4.403557382983127,0.007115209471766849
251,4.74425993382904,4.395985382983126,0.007143670309653917
252,4.740311933829041,4.394025382983124,0.007172131147540984
253,4.739615933829041,4.379596548933519,0.007200591985428051
254,4.73861593382904,4.371193382983126,0.007229052823315118
255,4.733655933829043,4.367151226391105,0.007257513661202186
256,4.732943933829041,4.365477382983128,0.007285974499089253
257,4.730999933829041,4.363645382983126,0.00731443533697632
258,4.724483933829044,4.363443226391105,0.007342896174863388
259,4.713407933829041,4.362511226391104,0.0073713570127504555
260,4.713275933829042,4.359599226391108,0.007399817850637523
261,4.70361593382904,4.35892054893352,0.00742827868852459
262,4.692655933829043,4.357719226391106,0.007456739526411658
263,4.689035933829041,4.35766059457245,0.007485200364298725
264,4.6814759338290415,4.353681382983128,0.007513661202185792
265,4.677519933829041,4.347088548933518,0.00754212204007286
266,4.676727933829041,4.344427226391104,0.007570582877959927
267,4.675579933829042,4.337052548933518,0.007599043715846994
268,4.652191933829041,4.3252645945724515,0.007627504553734062
269,4.650371933829042,4.323463226391105,0.0076559653916211294
270,4.643503933829042,4.322168594572452,0.007684426229508197
271,4.640283933829044,4.320048548933518,0.007712887067395264
272,4.638507933829043,4.311540594572452,0.007741347905282332
273,4.631323933829041,4.311127163826235,0.007769808743169399
274,4.627615933829041,4.306104548933516,0.007798269581056466
275,4.626683933829041,4.305364548933519,0.007826730418943533
276,4.623771933829044,4.305223163826233,0.007855191256830601
277,4.621891933829042,4.302871226391106,0.00788365209471767
278,4.6206919338290415,4.300855226391105,0.007912112932604735
279,4.620447933829043,4.298704548933517,0.007940573770491803
280,4.619123933829041,4.295279226391106,0.007969034608378871
281,4.617831933829043,4.294815226391107,0.007997495446265938
282,4.61114793382904,4.287640594572454,0.008025956284153006
283,4.609459933829044,4.2795832263911056,0.008054417122040074
284,4.608599933829041,4.274164548933517,0.00808287795992714
285,4.605999933829041,4.2648792263911055,0.008111338797814208
286,4.604023933829042,4.264720548933519,0.008139799635701274
287,4.595963933829042,4.263035226391107,0.008168260473588342
288,4.595195933829043,4.258527163826235,0.00819672131147541
289,4.587635933829041,4.252691226391107,0.008225182149362477
290,4.578959933829042,4.246151163826234,0.008253642987249545
291,4.5670439338290425,4.242603226391104,0.008282103825136613
292,4.565027933829041,4.238211226391105,0.008310564663023679
293,4.56501593382904,4.237003226391106,0.008339025500910747
294,4.564275933829043,4.234895163826234,0.008367486338797815
295,4.559791933829041,4.234743226391105,0.008395947176684881
296,4.559451933829042,4.231627226391106,0.008424408014571949
297,4.5589879338290435,4.230303226391106,0.008452868852459017
298,4.557615933829041,4.229539226391106,0.008481329690346083
299,4.543755933829042,4.221143226391106,0.008509790528233151
300,4.541935933829041,4.219967226391107,0.00853825136612022
301,4.541795933829041,4.214384548933518,0.008566712204007286
302,4.541515933829041,4.212092548933518,0.008595173041894354
303,4.540815933829042,4.209748594572452,0.00862363387978142
304,4.540395933829041,4.209667226391106,0.008652094717668488
305,4.538363933829042,4.195027226391104,0.008680555555555556
306,4.533675933829041,4.192540594572454,0.008709016393442622
307,4.533115933829041,4.189884594572452,0.00873747723132969
308,4.533075933829041,4.189632548933518,0.008765938069216758
309,4.529895933829042,4.181584548933519,0.008794398907103824
310,4.529335933829042,4.1742605489335185,0.008822859744990892
311,4.529051933829042,4.172292594572451,0.00885132058287796
312,4.527207933829043,4.168829382983127,0.008879781420765027
313,4.525275933829041,4.165749382983126,0.008908242258652095
314,4.524995933829041,4.165695226391106,0.008936703096539163
315,4.5236319338290425,4.160303226391106,0.008965163934426229
316,4.519955933829042,4.1591832263911055,0.008993624772313297
317,4.51981593382904,4.156935226391106,0.009022085610200365
318,4.516863933829043,4.154708548933518,0.009050546448087431
319,4.514495933829044,4.153811226391106,0.0090790072859745
320,4.513631933829044,4.148171226391104,0.009107468123861567
321,4.50677593382904,4.147920594572452,0.009135928961748634
322,4.504947933829041,4.146491163826235,0.009164389799635702
323,4.502383933829041,4.145259226391105,0.009192850637522768
324,4.5011759338290425,4.143099226391105,0.009221311475409836
